film,year_film,year_ceremony,ceremony,category,name,winner
Monsieur Pointu,1975,1976,48,SHORT FILM (Animated),"Ren̩ Jodoin, Bernard Longpr̩ and Andr̩ Leduc, Producers",FALSE
Sisyphus,1975,1976,48,SHORT FILM (Animated),"Marcell Jankovics, Producer",FALSE
Angel and Big Joe,1975,1976,48,SHORT FILM (Live Action),"Bert Salzman, Producer",TRUE
Conquest of Light,1975,1976,48,SHORT FILM (Live Action),"Louis Marcus, Producer",FALSE
Dawn Flight,1975,1976,48,SHORT FILM (Live Action),"Lawrence M. Lansburgh and Brian Lansburgh, Producers",FALSE
A Day in the Life of Bonnie Consolo,1975,1976,48,SHORT FILM (Live Action),"Barry Spinello, Producer",FALSE
Doubletalk,1975,1976,48,SHORT FILM (Live Action),"Alan Beattie, Producer",FALSE
And Now My Love,1975,1976,48,WRITING (Original Screenplay),"Claude Lelouch, Pierre Uytterhoeven",FALSE
Lies My Father Told Me,1975,1976,48,WRITING (Original Screenplay),Ted Allan,FALSE
Seven Beauties,1976,1977,49,ACTOR IN A LEADING ROLE,Giancarlo Giannini,FALSE
"Cousin, Cousine",1976,1977,49,ACTRESS IN A LEADING ROLE,Marie-Christine Barrault,FALSE
Face to Face,1976,1977,49,ACTRESS IN A LEADING ROLE,Liv Ullmann,FALSE
Voyage of the Damned,1976,1977,49,ACTRESS IN A SUPPORTING ROLE,Lee Grant,FALSE
The Incredible Sarah,1976,1977,49,ART DIRECTION,"Art Direction:  Elliot Scott, Norman Reynolds;  Set Decoration:  Peter Howitt",FALSE
The Last Tycoon,1976,1977,49,ART DIRECTION,"Art Direction:  Gene Callahan, Jack Collis;  Set Decoration:  Jerry Wunderlich",FALSE
Bound for Glory,1976,1977,49,CINEMATOGRAPHY,Haskell Wexler,TRUE
Fellini's Casanova,1976,1977,49,COSTUME DESIGN,Danilo Donati,TRUE
The Passover Plot,1976,1977,49,COSTUME DESIGN,Mary Wills,FALSE
The Seven-per-cent Solution,1976,1977,49,COSTUME DESIGN,Alan Barrett,FALSE
"Harlan County, U.S.A.",1976,1977,49,DOCUMENTARY (Feature),"Barbara Kopple, Producer",TRUE
Hollywood on Trial,1976,1977,49,DOCUMENTARY (Feature),"James Gutman and David Helpern, Jr., Producers",FALSE
Off the Edge,1976,1977,49,DOCUMENTARY (Feature),"Michael Firth, Producer",FALSE
People of the Wind,1976,1977,49,DOCUMENTARY (Feature),"Anthony Howarth and David Koff, Producers",FALSE
Volcano:  An Inquiry into the Life and Death of Malcolm Lowry,1976,1977,49,DOCUMENTARY (Feature),"Donald Brittain and Robert Duncan, Producers",FALSE
American Shoeshine,1976,1977,49,DOCUMENTARY (Short Subject),"Sparky Greene, Producer",FALSE
Blackwood,1976,1977,49,DOCUMENTARY (Short Subject),"Tony Ianzelo and Andy Thomson, Producers",FALSE
The End of the Road,1976,1977,49,DOCUMENTARY (Short Subject),"John Armstrong, Producer",FALSE
Number Our Days,1976,1977,49,DOCUMENTARY (Short Subject),"Lynne Littman, Producer",TRUE
Universe,1976,1977,49,DOCUMENTARY (Short Subject),"Lester Novros, Producer",FALSE
Black and White in Color,1976,1977,49,FOREIGN LANGUAGE FILM,Ivory Coast,TRUE
"Jacob, the Liar",1976,1977,49,FOREIGN LANGUAGE FILM,German Democratic Republic,FALSE
Nights and Days,1976,1977,49,FOREIGN LANGUAGE FILM,Poland,FALSE
Half a House,1976,1977,49,MUSIC (Original Song),Music by Sammy Fain; Lyrics by Paul Francis Webster,FALSE
Dedalo,1976,1977,49,SHORT FILM (Animated),"Manfredo Manfredi, Producer",FALSE
Leisure,1976,1977,49,SHORT FILM (Animated),"Suzanne Baker, Producer",TRUE
The Street,1976,1977,49,SHORT FILM (Animated),"Caroline Leaf and Guy Glover, Producers",FALSE
In the Region of Ice,1976,1977,49,SHORT FILM (Live Action),"Andre Guttfreund and Peter Werner, Producers",TRUE
Kudzu,1976,1977,49,SHORT FILM (Live Action),"Marjorie Anne Short, Producer",FALSE
The Morning Spider,1976,1977,49,SHORT FILM (Live Action),"Julian Chagrin and Claude Chagrin, Producers",FALSE
Nightlife,1976,1977,49,SHORT FILM (Live Action),"Claire Wilbur and Robin Lehman, Producers",FALSE
Number One,1976,1977,49,SHORT FILM (Live Action),"Dyan Cannon and Vince Cannon, Producers",FALSE
Equus,1977,1978,50,ACTOR IN A LEADING ROLE,Richard Burton,FALSE
A Special Day,1977,1978,50,ACTOR IN A LEADING ROLE,Marcello Mastroianni,FALSE
The Turning Point,1977,1978,50,ACTOR IN A SUPPORTING ROLE,Mikhail Baryshnikov,FALSE
Looking for Mr. Goodbar,1977,1978,50,ACTRESS IN A SUPPORTING ROLE,Tuesday Weld,FALSE
Islands in the Stream,1977,1978,50,CINEMATOGRAPHY,Fred J. Koenekamp,FALSE
A Little Night Music,1977,1978,50,COSTUME DESIGN,Florence Klotz,FALSE
The Other Side of Midnight,1977,1978,50,COSTUME DESIGN,Irene Sharaff,FALSE
The Children of Theatre Street,1977,1978,50,DOCUMENTARY (Feature),"Robert Dornhelm and Earle Mack, Producers",FALSE
High Grass Circus,1977,1978,50,DOCUMENTARY (Feature),"Bill Brind, Torben Schioler and Tony Ianzelo, Producers",FALSE
Homage to Chagall--The Colours of Love,1977,1978,50,DOCUMENTARY (Feature),"Harry Rasky, Producer",FALSE
Union Maids,1977,1978,50,DOCUMENTARY (Feature),"James Klein, Julia Reichert and Miles Mogulescu, Producers",FALSE
Who Are the DeBolts? And Where Did They Get Nineteen Kids?,1977,1978,50,DOCUMENTARY (Feature),"John Korty, Dan McCann and Warren L. Lockhart, Producers",TRUE
"Agueda Martinez: Our People, Our Country",1977,1978,50,DOCUMENTARY (Short Subject),"Moctesuma Esparza, Producer",FALSE
First Edition,1977,1978,50,DOCUMENTARY (Short Subject),"Helen Whitney and DeWitt L. Sage, Jr., Producers",FALSE
Gravity Is My Enemy,1977,1978,50,DOCUMENTARY (Short Subject),"John Joseph and Jan Stussy, Producers",TRUE
"Of Time, Tombs and Treasure",1977,1978,50,DOCUMENTARY (Short Subject),"James R. Messenger and Paul N. Raimondi, Producers",FALSE
The Shetland Experience,1977,1978,50,DOCUMENTARY (Short Subject),"Douglas Gordon, Producer",FALSE
Iphigenia,1977,1978,50,FOREIGN LANGUAGE FILM,Greece,FALSE
Madame Rosa,1977,1978,50,FOREIGN LANGUAGE FILM,France,TRUE
Operation Thunderbolt,1977,1978,50,FOREIGN LANGUAGE FILM,Israel,FALSE
That Obscure Object of Desire,1977,1978,50,FOREIGN LANGUAGE FILM,Spain,FALSE
Mohammad - Messenger of God,1977,1978,50,MUSIC (Original Score),Maurice Jarre,FALSE
The Slipper and the Rose--The Story of Cinderella,1977,1978,50,MUSIC (Original Song Score and Its Adaptation or Adaptation Score),Song Score by Richard M. Sherman and Robert B. Sherman; Adaptation Score by Angela Morley,FALSE
You Light Up My Life,1977,1978,50,MUSIC (Original Song),Music and Lyrics by Joseph Brooks,TRUE
The Bead Game,1977,1978,50,SHORT FILM (Animated),"Ishu Patel, Producer",FALSE
The Doonesbury Special,1977,1978,50,SHORT FILM (Animated),"John Hubley, Faith Hubley and Garry Trudeau, Producers",FALSE
Jimmy the C,1977,1978,50,SHORT FILM (Animated),"James Picker, Robert Grossman and Craig Whitaker, Producers",FALSE
The Sand Castle,1977,1978,50,SHORT FILM (Animated),"Co Hoedeman, Producer",TRUE
The Absent-Minded Waiter,1977,1978,50,SHORT FILM (Live Action),"William E. McEuen, Producer",FALSE
Floating Free,1977,1978,50,SHORT FILM (Live Action),"Jerry Butts, Producer",FALSE
I'll Find a Way,1977,1978,50,SHORT FILM (Live Action),"Beverly Shaffer and Yuki Yoshida, Producers",TRUE
Notes on the Popular Arts,1977,1978,50,SHORT FILM (Live Action),"Saul Bass, Producer",FALSE
Spaceborne,1977,1978,50,SHORT FILM (Live Action),"Philip Dauber, Producer",FALSE
I Never Promised You a Rose Garden,1977,1978,50,WRITING (Screenplay--based on material from another medium),"Gavin Lambert, Lewis John Carlino",FALSE
The Late Show,1977,1978,50,WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),Robert Benton,FALSE
Comes a Horseman,1978,1979,51,ACTOR IN A SUPPORTING ROLE,Richard Farnsworth,FALSE
Autumn Sonata,1978,1979,51,ACTRESS IN A LEADING ROLE,Ingrid Bergman,FALSE
"Same Time, Next Year",1978,1979,51,ACTRESS IN A LEADING ROLE,Ellen Burstyn,FALSE
An Unmarried Woman,1978,1979,51,ACTRESS IN A LEADING ROLE,Jill Clayburgh,FALSE
California Suite,1978,1979,51,ACTRESS IN A SUPPORTING ROLE,Maggie Smith,TRUE
The Brink's Job,1978,1979,51,ART DIRECTION,"Art Direction:  Dean Tavoularis, Angelo Graham;  Set Decoration:  George R. Nelson, Bruce Kay",FALSE
Caravans,1978,1979,51,COSTUME DESIGN,Renie Conley,FALSE
The Lovers' Wind,1978,1979,51,DOCUMENTARY (Feature),"Albert Lamorisse, Producer",FALSE
Mysterious Castles of Clay,1978,1979,51,DOCUMENTARY (Feature),"Alan Root, Producer",FALSE
Raoni,1978,1979,51,DOCUMENTARY (Feature),"Jean-Pierre Dutilleux, Barry Williams and Michel Gast, Producers",FALSE
Scared Straight!,1978,1979,51,DOCUMENTARY (Feature),"Arnold Shapiro, Producer",TRUE
With Babies and Banners: Story of the Women's Emergency Brigade,1978,1979,51,DOCUMENTARY (Feature),"Anne Bohlen, Lyn Goldfarb and Lorraine Gray, Producers",FALSE
The Divided Trail: A Native American Odyssey,1978,1979,51,DOCUMENTARY (Short Subject),"Jerry Aronson, Producer",FALSE
An Encounter with Faces,1978,1979,51,DOCUMENTARY (Short Subject),"K.K. Kapil, Producer",FALSE
The Flight of the Gossamer Condor,1978,1979,51,DOCUMENTARY (Short Subject),"Jacqueline Phillips Shedd and Ben Shedd, Producers",TRUE
Goodnight Miss Ann,1978,1979,51,DOCUMENTARY (Short Subject),"August Cinquegrana, Producer",FALSE
Squires of San Quentin,1978,1979,51,DOCUMENTARY (Short Subject),"J. Gary Mitchell, Producer",FALSE
Get Out Your Handkerchiefs,1978,1979,51,FOREIGN LANGUAGE FILM,France,TRUE
The Glass Cell,1978,1979,51,FOREIGN LANGUAGE FILM,German Federal Republic,FALSE
Hungarians,1978,1979,51,FOREIGN LANGUAGE FILM,Hungary,FALSE
Viva Italia!,1978,1979,51,FOREIGN LANGUAGE FILM,Italy,FALSE
White Bim Black Ear,1978,1979,51,FOREIGN LANGUAGE FILM,Union of Soviet Socialist Republics,FALSE
Thank God It's Friday,1978,1979,51,MUSIC (Original Song),Music and Lyrics by Paul Jabara,TRUE
The Magic of Lassie,1978,1979,51,MUSIC (Original Song),Music and Lyrics by Richard M. Sherman and Robert B. Sherman,FALSE
Oh My Darling,1978,1979,51,SHORT FILM (Animated),"Nico Crama, Producer",FALSE
Rip Van Winkle,1978,1979,51,SHORT FILM (Animated),"Will Vinton, Producer",FALSE
Special Delivery,1978,1979,51,SHORT FILM (Animated),"Eunice Macaulay and John Weldon, Producers",TRUE
A Different Approach,1978,1979,51,SHORT FILM (Live Action),"Jim Belcher and Fern Field, Producers",FALSE
Mandy's Grandmother,1978,1979,51,SHORT FILM (Live Action),"Andrew Sugerman, Producer",FALSE
Strange Fruit,1978,1979,51,SHORT FILM (Live Action),"Seth Pinsker, Producer",FALSE
Teenage Father,1978,1979,51,SHORT FILM (Live Action),"Taylor Hackford, Producer",TRUE
Bloodbrothers,1978,1979,51,WRITING (Screenplay Based on Material from Another Medium),Walter Newman,FALSE
The Rose,1979,1980,52,ACTOR IN A SUPPORTING ROLE,Frederic Forrest,FALSE
Starting Over,1979,1980,52,ACTRESS IN A LEADING ROLE,Jill Clayburgh,FALSE
Chapter Two,1979,1980,52,ACTRESS IN A LEADING ROLE,Marsha Mason,FALSE
Star Trek - The Motion Picture,1979,1980,52,ART DIRECTION,"Art Direction:  Harold Michelson, Joe Jennings, Leon Harris, John Vallone;  Set Decoration:  Linda DeScenna",FALSE
Agatha,1979,1980,52,COSTUME DESIGN,Shirley Russell,FALSE
Butch and Sundance: The Early Days,1979,1980,52,COSTUME DESIGN,William Ware Theiss,FALSE
The Europeans,1979,1980,52,COSTUME DESIGN,Judy Moorcroft,FALSE
La Cage aux Folles,1979,1980,52,COSTUME DESIGN,"Piero Tosi, Ambra Danon",FALSE
Best Boy,1979,1980,52,DOCUMENTARY (Feature),"Ira Wohl, Producer",TRUE
Generation on the Wind,1979,1980,52,DOCUMENTARY (Feature),"David A. Vassar, Producer",FALSE
The Killing Ground,1979,1980,52,DOCUMENTARY (Feature),"Steve Singer and Tom Priestley, Producers",FALSE
The War at Home,1979,1980,52,DOCUMENTARY (Feature),"Glenn Silber and Barry Alexander Brown, Producers",FALSE
Dae,1979,1980,52,DOCUMENTARY (Short Subject),"Risto Teofilovski, Producer",FALSE
Koryo Celadon,1979,1980,52,DOCUMENTARY (Short Subject),"Donald A. Connolly and James R. Messenger, Producers",FALSE
Nails,1979,1980,52,DOCUMENTARY (Short Subject),"Phillip Borsos, Producer",FALSE
Paul Robeson: Tribute to an Artist,1979,1980,52,DOCUMENTARY (Short Subject),"Saul J. Turell, Producer",TRUE
The Maids of Wilko,1979,1980,52,FOREIGN LANGUAGE FILM,Poland,FALSE
Mama Turns a Hundred,1979,1980,52,FOREIGN LANGUAGE FILM,Spain,FALSE
A Simple Story,1979,1980,52,FOREIGN LANGUAGE FILM,France,FALSE
The Tin Drum,1979,1980,52,FOREIGN LANGUAGE FILM,Federal Republic of Germany,TRUE
To Forget Venice,1979,1980,52,FOREIGN LANGUAGE FILM,Italy,FALSE
A Little Romance,1979,1980,52,MUSIC (Original Score),Georges Delerue,TRUE
The Muppet Movie,1979,1980,52,MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score),Song Score by Paul Williams and Kenny Ascher; Adaptation Score by Paul Williams,FALSE
The Promise,1979,1980,52,MUSIC (Original Song),Music by David Shire; Lyric by Alan Bergman and Marilyn Bergman,FALSE
Ice Castles,1979,1980,52,MUSIC (Original Song),Music by Marvin Hamlisch; Lyric by Carole Bayer Sager,FALSE
Dream Doll,1979,1980,52,SHORT FILM (Animated),"Bob Godfrey and Zlatko Grgic, Producers",FALSE
Every Child,1979,1980,52,SHORT FILM (Animated),"Derek Lamb, Producer",TRUE
It's So Nice to Have a Wolf around the House,1979,1980,52,SHORT FILM (Animated),"Paul Fierlinger, Producer",FALSE
Board and Care,1979,1980,52,SHORT FILM (Live Action),"Sarah Pillsbury and Ron Ellis, Producers",TRUE
Bravery in the Field,1979,1980,52,SHORT FILM (Live Action),"Roman Kroitor and Stefan Wodoslawsky, Producers",FALSE
"Oh Brother, My Brother",1979,1980,52,SHORT FILM (Live Action),"Carol Lowell and Ross Lowell, Producers",FALSE
The Solar Film,1979,1980,52,SHORT FILM (Live Action),"Saul Bass and Michael Britton, Producers",FALSE
Solly's Diner,1979,1980,52,SHORT FILM (Live Action),"Harry Mathias, Jay Zukerman and Larry Hankin, Producers",FALSE
The Great Santini,1980,1981,53,ACTOR IN A LEADING ROLE,Robert Duvall,FALSE
Tribute,1980,1981,53,ACTOR IN A LEADING ROLE,Jack Lemmon,FALSE
Melvin and Howard,1980,1981,53,ACTOR IN A SUPPORTING ROLE,Jason Robards,FALSE
Inside Moves,1980,1981,53,ACTRESS IN A SUPPORTING ROLE,Diana Scarwid,FALSE
Kagemusha (The Shadow Warrior),1980,1981,53,ART DIRECTION,Yoshiro Muraki,FALSE
The Formula,1980,1981,53,CINEMATOGRAPHY,James Crabe,FALSE
My Brilliant Career,1980,1981,53,COSTUME DESIGN,Anna Senior,FALSE
When Time Ran Out,1980,1981,53,COSTUME DESIGN,Paul Zastupnevich,FALSE
Agee,1980,1981,53,DOCUMENTARY (Feature),"Ross Spears, Producer",FALSE
The Day after Trinity,1980,1981,53,DOCUMENTARY (Feature),"Jon Else, Producer",FALSE
From Mao to Mozart: Isaac Stern in China,1980,1981,53,DOCUMENTARY (Feature),"Murray Lerner, Producer",TRUE
Front Line,1980,1981,53,DOCUMENTARY (Feature),"David Bradbury, Producer",FALSE
The Yellow Star - The Persecution of the Jews in Europe 1933-45,1980,1981,53,DOCUMENTARY (Feature),"Bengt von zur Muehlen and Arthur Cohn, Producers",FALSE
Don't Mess with Bill,1980,1981,53,DOCUMENTARY (Short Subject),"John Watson and Pen Densham, Producers",FALSE
The Eruption of Mount St. Helens,1980,1981,53,DOCUMENTARY (Short Subject),"George Casey, Producer",FALSE
It's the Same World,1980,1981,53,DOCUMENTARY (Short Subject),"Dick Young, Producer",FALSE
Karl Hess: Toward Liberty,1980,1981,53,DOCUMENTARY (Short Subject),"Roland Hall̩ and Peter W. Ladue, Producers",TRUE
Luther Metke at 94,1980,1981,53,DOCUMENTARY (Short Subject),"Richard Hawkins and Jorge Preloran, Producers",FALSE
The Competition,1980,1981,53,FILM EDITING,David Blewitt,FALSE
The Last Metro,1980,1981,53,FOREIGN LANGUAGE FILM,France,FALSE
Moscow Does Not Believe in Tears,1980,1981,53,FOREIGN LANGUAGE FILM,Union of Soviet Socialist Republics,TRUE
The Nest,1980,1981,53,FOREIGN LANGUAGE FILM,Spain,FALSE
Honeysuckle Rose,1980,1981,53,MUSIC (Original Song),Music and Lyric by Willie Nelson,FALSE
All Nothing,1980,1981,53,SHORT FILM (Animated),"Fr̩d̩ric Back, Producer",FALSE
History of the World in Three Minutes Flat,1980,1981,53,SHORT FILM (Animated),"Michael Mills, Producer",FALSE
The Dollar Bottom,1980,1981,53,SHORT FILM (Dramatic Live Action),"Lloyd Phillips, Producer",TRUE
Fall Line,1980,1981,53,SHORT FILM (Dramatic Live Action),"Bob Carmichael and Greg Lowe, Producers",FALSE
A Jury of Her Peers,1980,1981,53,SHORT FILM (Dramatic Live Action),"Sally Heckel, Producer",FALSE
Mon Oncle D'Amerique,1980,1981,53,WRITING (Screenplay Written Directly for the Screen),Jean Gruault,FALSE
Only When I Laugh,1981,1982,54,ACTOR IN A SUPPORTING ROLE,James Coco,FALSE
Pennies from Heaven,1981,1982,54,COSTUME DESIGN,Bob Mackie,FALSE
Against Wind and Tide: A Cuban Odyssey,1981,1982,54,DOCUMENTARY (Feature),"Suzanne Bauman, Paul Neshamkin and Jim Burroughs, Producers",FALSE
Brooklyn Bridge,1981,1982,54,DOCUMENTARY (Feature),"Ken Burns, Producer",FALSE
Eight Minutes to Midnight: A Portrait of Dr. Helen Caldicott,1981,1982,54,DOCUMENTARY (Feature),"Mary Benjamin, Susanne Simpson and Boyd Estus, Producers",FALSE
El Salvador: Another Vietnam,1981,1982,54,DOCUMENTARY (Feature),"Glenn Silber and Tete Vasconcellos, Producers",FALSE
Genocide,1981,1982,54,DOCUMENTARY (Feature),"Arnold Schwartzman and Rabbi Marvin Hier, Producers",TRUE
Americas in Transition,1981,1982,54,DOCUMENTARY (Short Subject),"Obie Benz, Producer",FALSE
Close Harmony,1981,1982,54,DOCUMENTARY (Short Subject),"Nigel Noble, Producer",TRUE
Journey for Survival,1981,1982,54,DOCUMENTARY (Short Subject),"Dick Young, Producer",FALSE
See What I Say,1981,1982,54,DOCUMENTARY (Short Subject),"Linda Chapman, Pam LeBlanc and Freddi Stevens, Producers",FALSE
Urge to Build,1981,1982,54,DOCUMENTARY (Short Subject),"Roland Hall̩ and John Hoover, Producers",FALSE
The Boat Is Full,1981,1982,54,FOREIGN LANGUAGE FILM,Switzerland,FALSE
Man of Iron,1981,1982,54,FOREIGN LANGUAGE FILM,Poland,FALSE
Mephisto,1981,1982,54,FOREIGN LANGUAGE FILM,Hungary,TRUE
Muddy River,1981,1982,54,FOREIGN LANGUAGE FILM,Japan,FALSE
Three Brothers,1981,1982,54,FOREIGN LANGUAGE FILM,Italy,FALSE
Heartbeeps,1981,1982,54,MAKEUP,Stan Winston,FALSE
Crac,1981,1982,54,SHORT FILM (Animated),"Fr̩d̩ric Back, Producer",TRUE
The Creation,1981,1982,54,SHORT FILM (Animated),"Will Vinton, Producer",FALSE
The Tender Tale of Cinderella Penguin,1981,1982,54,SHORT FILM (Animated),"Janet Perlman, Producer",FALSE
Couples and Robbers,1981,1982,54,SHORT FILM (Live Action),"Christine Oestreicher, Producer",FALSE
First Winter,1981,1982,54,SHORT FILM (Live Action),"John N. Smith, Producer",FALSE
Violet,1981,1982,54,SHORT FILM (Live Action),"Paul Kemp and Shelley Levinson, Producers",TRUE
Frances,1982,1983,55,ACTRESS IN A LEADING ROLE,Jessica Lange,FALSE
La Traviata,1982,1983,55,ART DIRECTION,Art Direction:  Franco Zeffirelli;  Set Decoration:  Gianni Quaranta,FALSE
Das Boot,1982,1983,55,CINEMATOGRAPHY,Jost Vacano,FALSE
E.T. The Extra-Terrestrial,1982,1983,55,CINEMATOGRAPHY,Allen Daviau,FALSE
After the Axe,1982,1983,55,DOCUMENTARY (Feature),"Sturla Gunnarsson and Steve Lucas, Producers",FALSE
Ben's Mill,1982,1983,55,DOCUMENTARY (Feature),"John Karol and Michel Chalufour, Producers",FALSE
In Our Water,1982,1983,55,DOCUMENTARY (Feature),"Meg Switzgable, Producer",FALSE
Just Another Missing Kid,1982,1983,55,DOCUMENTARY (Feature),"John Zaritsky, Producer",TRUE
A Portrait of Giselle,1982,1983,55,DOCUMENTARY (Feature),"Joseph Wishy, Producer",FALSE
Gods of Metal,1982,1983,55,DOCUMENTARY (Short Subject),"Robert Richter, Producer",FALSE
If You Love This Planet,1982,1983,55,DOCUMENTARY (Short Subject),"Edward Le Lorrain and Terri Nash, Producers",TRUE
The Klan: A Legacy of Hate in America,1982,1983,55,DOCUMENTARY (Short Subject),"Charles Guggenheim and Werner Schumann, Producers",FALSE
To Live or Let Die,1982,1983,55,DOCUMENTARY (Short Subject),"Freida Lee Mock, Producer",FALSE
Traveling Hopefully,1982,1983,55,DOCUMENTARY (Short Subject),"John G. Avildsen, Producer",FALSE
Alsino and the Condor,1982,1983,55,FOREIGN LANGUAGE FILM,Nicaragua,FALSE
Coup de Torchon ('Clean Slate'),1982,1983,55,FOREIGN LANGUAGE FILM,France,FALSE
The Flight of the Eagle,1982,1983,55,FOREIGN LANGUAGE FILM,Sweden,FALSE
Private Life,1982,1983,55,FOREIGN LANGUAGE FILM,Union of Soviet Socialist Republics,FALSE
Volver a Empezar ('To Begin Again'),1982,1983,55,FOREIGN LANGUAGE FILM,Spain,TRUE
Quest for Fire,1982,1983,55,MAKEUP,"Sarah Monzani, Mich̬le Burke",TRUE
One from the Heart,1982,1983,55,MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score),Song Score by Tom Waits,FALSE
Best Friends,1982,1983,55,MUSIC (Original Song),Music by Michel Legrand; Lyric by Alan Bergman and Marilyn Bergman,FALSE
"Yes, Giorgio",1982,1983,55,MUSIC (Original Song),Music by John Williams; Lyric by Alan Bergman and Marilyn Bergman,FALSE
The Great Cognito,1982,1983,55,SHORT FILM (Animated),"Will Vinton, Producer",FALSE
Tango,1982,1983,55,SHORT FILM (Animated),"Zbigniew Rybczynski, Producer",TRUE
Ballet Robotique,1982,1983,55,SHORT FILM (Live Action),"Bob Rogers, Producer",FALSE
A Shocking Accident,1982,1983,55,SHORT FILM (Live Action),"Christine Oestreicher, Producer",TRUE
The Silence,1982,1983,55,SHORT FILM (Live Action),"Michael Toshiyuki Uno and Joseph Benson, Producers",FALSE
Split Cherry Tree,1982,1983,55,SHORT FILM (Live Action),"Jan Saunders, Producer",FALSE
Sredni Vashtar,1982,1983,55,SHORT FILM (Live Action),"Andrew Birkin, Producer",FALSE
"Reuben, Reuben",1983,1984,56,ACTOR IN A LEADING ROLE,Tom Conti,FALSE
The Dresser,1983,1984,56,ACTOR IN A LEADING ROLE,Tom Courtenay,FALSE
Tender Mercies,1983,1984,56,ACTOR IN A LEADING ROLE,Robert Duvall,TRUE
Cross Creek,1983,1984,56,ACTOR IN A SUPPORTING ROLE,Rip Torn,FALSE
Testament,1983,1984,56,ACTRESS IN A LEADING ROLE,Jane Alexander,FALSE
Fanny & Alexander,1983,1984,56,ART DIRECTION,Anna Asp,TRUE
Heart Like a Wheel,1983,1984,56,COSTUME DESIGN,William Ware Theiss,FALSE
The Return of Martin Guerre,1983,1984,56,COSTUME DESIGN,Anne-Marie Marchand,FALSE
Children of Darkness,1983,1984,56,DOCUMENTARY (Feature),"Richard Kotuk and Ara Chekmayan, Producers",FALSE
First Contact,1983,1984,56,DOCUMENTARY (Feature),"Bob Connolly and Robin Anderson, Producers",FALSE
He Makes Me Feel Like Dancin',1983,1984,56,DOCUMENTARY (Feature),"Emile Ardolino, Producer",TRUE
The Profession of Arms,1983,1984,56,DOCUMENTARY (Feature),"Michael Bryans and Tina Viljoen, Producers",FALSE
Seeing Red,1983,1984,56,DOCUMENTARY (Feature),"James Klein and Julia Reichert, Producers",FALSE
Flamenco at 5:15,1983,1984,56,DOCUMENTARY (Short Subject),"Cynthia Scott and Adam Symansky, Producers",TRUE
In the Nuclear Shadow: What Can the Children Tell Us?,1983,1984,56,DOCUMENTARY (Short Subject),"Vivienne Verdon-Roe and Eric Thiermann, Producers",FALSE
Sewing Woman,1983,1984,56,DOCUMENTARY (Short Subject),"Arthur Dong, Producer",FALSE
Spaces: The Architecture of Paul Rudolph,1983,1984,56,DOCUMENTARY (Short Subject),"Robert Eisenhardt, Producer",FALSE
You Are Free  (Ihr Zent Frei),1983,1984,56,DOCUMENTARY (Short Subject),"Dea Brokman and Ilene Landis, Producers",FALSE
Carmen,1983,1984,56,FOREIGN LANGUAGE FILM,Spain,FALSE
Entre Nous,1983,1984,56,FOREIGN LANGUAGE FILM,France,FALSE
Job's Revolt,1983,1984,56,FOREIGN LANGUAGE FILM,Hungary,FALSE
Le Bal,1983,1984,56,FOREIGN LANGUAGE FILM,Algeria,FALSE
The Sting II,1983,1984,56,MUSIC (Original Song Score or Adaptation Score),Adaptation Score by Lalo Schifrin,FALSE
Sound of Sunshine - Sound of Rain,1983,1984,56,SHORT FILM (Animated),"Eda Godel Hallinan, Producer",FALSE
Sundae in New York,1983,1984,56,SHORT FILM (Animated),"Jimmy Picker, Producer",TRUE
Goodie-Two-Shoes,1983,1984,56,SHORT FILM (Live Action),"Ian Emes, Producer",FALSE
Overnight Sensation,1983,1984,56,SHORT FILM (Live Action),"Jon N. Bloom, Producer",FALSE
Betrayal,1983,1984,56,WRITING (Screenplay Based on Material from Another Medium),Harold Pinter,FALSE
Country,1984,1985,57,ACTRESS IN A LEADING ROLE,Jessica Lange,FALSE
The Bostonians,1984,1985,57,ACTRESS IN A LEADING ROLE,Vanessa Redgrave,FALSE
The River,1984,1985,57,ACTRESS IN A LEADING ROLE,Sissy Spacek,FALSE
Swing Shift,1984,1985,57,ACTRESS IN A SUPPORTING ROLE,Christine Lahti,FALSE
High Schools,1984,1985,57,DOCUMENTARY (Feature),"Charles Guggenheim and Nancy Sloss, Producers",FALSE
In the Name of the People,1984,1985,57,DOCUMENTARY (Feature),"Alex W. Drehsler and Frank Christopher, Producers",FALSE
Marlene,1984,1985,57,DOCUMENTARY (Feature),"Karel Dirka and Zev Braun, Producers",FALSE
Streetwise,1984,1985,57,DOCUMENTARY (Feature),"Cheryl McCall, Producer",FALSE
The Children of Soong Ching Ling,1984,1985,57,DOCUMENTARY (Short Subject),"Gary Bush and Paul T.K. Lin, Producers",FALSE
Code Gray: Ethical Dilemmas in Nursing,1984,1985,57,DOCUMENTARY (Short Subject),"Ben Achtenberg and Joan Sawyer, Producers",FALSE
The Garden of Eden,1984,1985,57,DOCUMENTARY (Short Subject),"Lawrence R. Hott and Roger M. Sherman, Producers",FALSE
Recollections of Pavlovsk,1984,1985,57,DOCUMENTARY (Short Subject),"Irina Kalinina, Producer",FALSE
